iter	Passed	Remaining
0	142	142566
1	150	75320
2	165	54907
3	172	43032
4	180	35842
5	186	30925
6	194	27617
7	201	24959
8	210	23194
9	217	21526
10	225	20280
11	233	19190
12	241	18328
13	248	17516
14	256	16875
15	264	16249
16	272	15775
17	280	15278
18	289	14947
19	296	14532
20	305	14247
21	312	13911
22	322	13719
23	331	13477
24	340	13263
25	347	13029
26	357	12879
27	365	12686
28	373	12517
29	381	12347
30	391	12227
31	400	12129
32	409	11992
33	418	11902
34	427	11794
35	437	11719
36	446	11608
37	455	11537
38	465	11463
39	473	11352
40	482	11279
41	490	11185
42	499	11121
43	507	11032
44	517	10991
45	525	10905
46	539	10942
47	551	10942
48	561	10906
49	570	10839
50	579	10786
51	587	10709
52	596	10658
53	605	10601
54	614	10558
55	624	10524
56	633	10475
57	642	10441
58	650	10374
59	660	10344
60	668	10283
61	677	10252
62	686	10210
63	694	10160
64	704	10140
65	713	10099
66	723	10072
67	731	10025
68	741	9998
69	749	9951
70	758	9924
71	766	9884
72	775	9846
73	783	9806
74	793	9781
75	802	9758
76	811	9728
77	820	9700
78	828	9658
79	838	9637
80	845	9595
81	855	9574
82	863	9535
83	872	9516
84	881	9484
85	890	9460
86	899	9444
87	908	9419
88	918	9400
89	926	9365
90	935	9348
91	945	9328
92	955	9314
93	965	9306
94	973	9278
95	983	9259
96	992	9238
97	1003	9234
98	1013	9225
99	1022	9201
100	1032	9188
101	1040	9160
102	1051	9155
103	1060	9136
104	1069	9120
105	1079	9105
106	1087	9079
107	1098	9071
108	1107	9052
109	1119	9061
110	1131	9058
111	1140	9042
112	1149	9026
113	1159	9009
114	1169	8999
115	1179	8991
116	1188	8972
117	1198	8958
118	1206	8931
119	1214	8907
120	1222	8881
121	1231	8864
122	1240	8842
123	1248	8818
124	1256	8795
125	1264	8772
126	1273	8750
127	1281	8728
128	1289	8704
129	1297	8679
130	1305	8661
131	1314	8646
132	1323	8629
133	1331	8604
134	1339	8583
135	1346	8557
136	1355	8539
137	1363	8516
138	1372	8499
139	1379	8473
140	1387	8455
141	1396	8435
142	1404	8419
143	1412	8395
144	1421	8379
145	1429	8358
146	1437	8342
147	1444	8317
148	1453	8302
149	1461	8282
150	1470	8266
151	1477	8242
152	1486	8227
153	1494	8209
154	1503	8195
155	1511	8177
156	1521	8168
157	1529	8150
158	1538	8135
159	1545	8115
160	1554	8099
161	1562	8082
162	1570	8064
163	1578	8046
164	1587	8033
165	1595	8013
166	1604	8003
167	1620	8024
168	1627	8004
169	1637	7993
170	1644	7974
171	1654	7965
172	1664	7956
173	1672	7941
174	1681	7926
175	1689	7909
176	1698	7895
177	1705	7874
178	1714	7862
179	1721	7841
180	1729	7827
181	1738	7812
182	1747	7799
183	1754	7781
184	1763	7767
185	1770	7746
186	1778	7733
187	1785	7713
188	1793	7696
189	1801	7678
190	1809	7662
191	1817	7650
192	1825	7634
193	1835	7624
194	1843	7610
195	1851	7593
196	1859	7577
197	1866	7561
198	1874	7545
199	1884	7537
200	1894	7531
201	1904	7522
202	1915	7519
203	1923	7505
204	1932	7493
205	1940	7481
